rho,k00,k01,k02,k03,k10,k11,k12,k13,b00,b01,b02,b03,b10,b11,b12,b13,label,run_dir
0.05,0.12942179597355633,0.6589456862797608,0.018540451828633002,0.9055260646626633,0.7319080244175862,0.5459627531815547,0.013785785690717471,0.2745752687082798,0.6371305733976107,3.6875543070233365,1.0726380553803332,4.173787022212696,2.9353225181431193,2.2512087694651077,0.5663342406668896,2.559326744319564,pineNeedle,sweep_results/rho_0.05/test_0565
0.05,0.3580234986062132,0.14216422497980202,0.022983690193404103,0.48053783958325397,0.33780303438765763,0.020918469462071865,0.18661106644493422,0.7081530591832456,1.3967811737662927,4.636432262798014,4.7354407398213825,0.6143922254534532,2.3030137304064855,1.4635252460314474,1.0533727654640177,2.3034783026696894,pineNeedle,sweep_results/rho_0.05/test_0575
0.05,0.7822567901886485,0.09181692747412926,0.030155702897360758,0.20380639157910907,0.045908399795527736,0.2378408901192686,0.030105061110055464,0.013157929035301337,0.5598643881806323,3.803043959472643,3.9906185730011052,1.0395073087397824,0.5008690563704382,3.79593514131994,0.5633888646387962,1.3672677740772181,pineNeedle,sweep_results/rho_0.05/test_0592
0.05,0.7158195595258875,0.06234072129953,0.20657844298086608,0.07307408607222135,0.9647534633709011,0.04293821386638695,0.014460228599850956,0.01808935410990938,0.80609892020382,3.1686728977334147,0.946436686510646,0.5363252496352704,0.6559838672858467,0.6638007027644531,1.9123255205750014,0.5552889331139154,pineNeedle,sweep_results/rho_0.05/test_0616
0.05,0.16760711684268906,0.146738662090794,0.10556983485482271,0.18334742149214017,0.08168091128836968,0.2205223909591788,0.07120385308420421,0.10904392096642346,2.4422170473894598,2.309847886328616,5.128764074870793,3.581581156298627,0.678984055039187,0.9114794675638523,2.6294378229798756,2.6877102009542835,pineNeedle,sweep_results/rho_0.05/test_0672
0.05,0.053972934985177336,0.4223085846540065,0.0572048175681127,0.02214412942894798,0.07373369769976769,0.9745257536419509,0.07209271985138288,0.02274615660469658,2.66578128739493,2.652917861080104,3.2360736870708844,5.391645494837886,1.5545320656428363,0.6313588456307644,0.5117139327607091,2.6575837051725153,pineNeedle,sweep_results/rho_0.05/test_0673
0.05,0.17518321074738366,0.9606559180406649,0.43520865267982645,0.43882516632864543,0.03381030192989732,0.675870174869065,0.3364102715040167,0.4299716744777469,2.8177272128929536,5.444236300004216,4.588778170982798,1.5019881253219756,2.7995330247475247,3.8386593700598954,4.67786809781933,1.4265458058613079,pineNeedle,sweep_results/rho_0.05/test_0674
0.05,0.6507803969218533,0.15290462876652003,0.20027338655784616,0.37428699710796864,0.1191822501022775,0.15597061449124322,0.03168505818370784,0.3776912827948895,1.0598377300732267,2.7011361245661702,0.7153186401593903,2.0188607525337905,0.961067815296107,2.932211874833644,1.1283848120286188,2.582009192783407,pineNeedle,sweep_results/rho_0.05/test_0677
0.05,0.016677179706059034,0.01913133102751887,0.023940353625747996,0.4797611590714653,0.03865447841592935,0.27090647308988364,0.42583257075659264,0.0442022752944259,2.1939039586463327,4.899092360079951,1.1400426247497848,2.24734161505843,1.5554353343121625,1.8149173034735249,2.0259099070837716,1.4289876674991104,pineNeedle,sweep_results/rho_0.05/test_0678
0.05,0.2938214861567062,0.25402735694724166,0.6335825244186156,0.23198396039543506,0.5818406356226715,0.03467310152933956,0.011255894985320834,0.010577627092243237,1.652364780833397,1.961627746695556,1.42035360428633,3.212570320398354,2.8791190036655205,0.7823560742077942,1.7118933359579607,0.6928046063229446,pineNeedle,sweep_results/rho_0.05/test_0702
